text,severity,category
"App crashes when user clicks login button","Critical","Backend"
"Payment fails for amounts above 10000","Critical","Backend"
"Database connection timeout after 30 seconds","Critical","Backend"
"Server returns 500 error on checkout","Critical","Backend"
"App freezes completely on startup","Critical","Backend"
"User session expires without warning","High","Backend"
"API returns wrong data for user profile","High","Backend"
"Password reset email not being sent","High","Backend"
"Search results showing incorrect items","High","Backend"
"Cart items disappear after page refresh","High","Backend"
"Login button not visible on mobile screen","High","UI"
"Dropdown menu overlaps with header","Medium","UI"
"Font size too small on dashboard","Low","UI"
"Button color does not match design","Low","UI"
"Logo appears blurry on retina screens","Low","UI"
"Sidebar not collapsing on mobile","Medium","UI"
"Modal popup not centered on screen","Low","UI"
"Text overflows outside the card container","Medium","UI"
"Dark mode colors look inconsistent","Low","UI"
"Footer links are not aligned properly","Low","UI"
"Page takes 15 seconds to load","High","Performance"
"Dashboard freezes with 100 users online","Critical","Performance"
"Image loading is very slow on homepage","Medium","Performance"
"API response time exceeds 5 seconds","High","Performance"
"Memory usage increases over time","High","Performance"
"Search feature slows down with large data","Medium","Performance"
"Video player buffers frequently","Medium","Performance"
"Report generation takes too long","Medium","Performance"
"App becomes slow after 2 hours of use","High","Performance"
"Database queries taking too long","High","Performance"
"User data visible to other accounts","Critical","Security"
"SQL injection possible on search field","Critical","Security"
"Password stored in plain text","Critical","Security"
"Session token not expiring after logout","High","Security"
"HTTPS not enforced on payment page","Critical","Security"
"User can access admin panel without login","Critical","Security"
"XSS vulnerability found in comment section","High","Security"
"API keys exposed in frontend code","High","Security"
"No rate limiting on login attempts","High","Security"
"Sensitive data sent over HTTP not HTTPS","High","Security"
"Submit button does nothing on contact form","High","UI"
"File upload fails for files above 5MB","Medium","Backend"
"Email validation not working correctly","Medium","Backend"
"Notifications not appearing in real time","Medium","Backend"
"Export to PDF feature is broken","Medium","Backend"
"Charts not rendering on Firefox browser","Medium","UI"
"Mobile keyboard covers input fields","Medium","UI"
"Scroll position resets on back navigation","Low","UI"
"Tooltip text is cut off on small screens","Low","UI"
"Copy to clipboard button not working","Low","UI"
"Application crashes on Android 12 devices","Critical","Backend"
"Server crashes when 500 users login simultaneously","Critical","Backend"
"Data loss occurs when session times out","Critical","Backend"
"Critical error on database migration","Critical","Backend"
"App crashes when uploading large files","Critical","Backend"
"Payment gateway returns null response","Critical","Backend"
"Authentication token is invalid after refresh","High","Backend"
"User profile data not saving correctly","High","Backend"
"API endpoint returning 404 error","High","Backend"
"Background job failing silently","High","Backend"
"Incorrect tax calculation on invoice","High","Backend"
"Email notifications sent multiple times","High","Backend"
"Search filter not working correctly","High","Backend"
"Data export producing incorrect format","High","Backend"
"Navigation menu disappears on scroll","Medium","UI"
"Table columns misaligned on mobile","Medium","UI"
"Date picker not working on Safari","Medium","UI"
"Color contrast too low for accessibility","Medium","UI"
"Animation stutters on low end devices","Medium","UI"
"Form fields not highlighted on focus","Low","UI"
"Scrollbar style inconsistent across pages","Low","UI"
"Icon sizes inconsistent across screens","Low","UI"
"Padding inconsistent on card components","Low","UI"
"Hover effect missing on menu items","Low","UI"
"Homepage loads slowly on 3G network","High","Performance"
"Search results take too long to appear","High","Performance"
"App uses too much RAM on mobile","High","Performance"
"PDF generation takes more than 1 minute","High","Performance"
"Live chat feature causes browser to freeze","High","Performance"
"Autocomplete suggestions load very slowly","Medium","Performance"
"Calendar events slow to render","Medium","Performance"
"Graph animations causing high CPU usage","Medium","Performance"
"Map feature loads slowly on first open","Medium","Performance"
"Bulk email sending times out","Medium","Performance"
"User password visible in network logs","Critical","Security"
"Admin credentials hardcoded in source code","Critical","Security"
"Cross site request forgery vulnerability found","Critical","Security"
"User can view other users private data","Critical","Security"
"Authentication bypass possible on login page","Critical","Security"
"Insecure direct object reference vulnerability","High","Security"
"Missing input sanitization on comment field","High","Security"
"JWT token not validated properly","High","Security"
"File upload allows executable files","High","Security"
"Error messages revealing sensitive system info","High","Security"
"Two factor authentication can be bypassed","High","Security"
"Account lockout not working after failed attempts","High","Security"
"App crashes when internet connection drops","Critical","Backend"
"Push notifications not delivered on iOS","High","Backend"
"Incorrect data shown after cache refresh","High","Backend"
"Third party API integration failing","High","Backend"
"Webhook events not being received","Medium","Backend"
"CSV import failing for large files","Medium","Backend"
"User roles not being applied correctly","High","Backend"
"Pagination returning duplicate records","Medium","Backend"
"Buttons overlapping on small screens","Medium","UI"
"Dropdown values reset on page refresh","Medium","UI"
"Image carousel not working on touch devices","Medium","UI"
"Print layout looks broken","Low","UI"
"Empty state illustration missing on some pages","Low","UI"
"Font loading causing flash of unstyled text","Low","UI"
"App takes too long to start on old devices","High","Performance"
"File download speed very slow","Medium","Performance"
"Charts take too long to load with large data","High","Performance"
"Infinite scroll causes memory leak","High","Performance"
"Session hijacking vulnerability detected","Critical","Security"
"Sensitive files accessible without authentication","Critical","Security"
"Security headers missing from HTTP response","High","Security"
"Password policy not enforced correctly","High","Security"
